year,miles,price,make
1978,103000,4000,GMC
1989,186000,1500,GMC
1990,215000,1200,GMC
1993,90000,1900,GMC
1994,89000,3800,GMC
1995,128500,3900,GMC
1995,131000,2500,Ford
1995,127000,4395,GMC
1995,176000,3250,Dodge
1995,116455,5000,GMC
1996,84000,5900,Dodge
1996,89000,2100,Ford
1996,79000,5350,Ford
1996,151923,3450,GMC
1996,114400,4999,Dodge
1997,167000,5000,GMC
1998,85000,5000,GMC
1998,114000,4900,Ford
1998,166000,4500,GMC
1999,142000,2800,Dodge
1999,127025,7295,Ford
1999,97000,4595,Ford
1999,96600,4400,GMC
2000,207799,4500,GMC
2000,125000,2500,GMC
2001,1500,9998,Dodge
2001,84652,7485,GMC
2002,115000,6700,Dodge
2002,198000,9500,Ford
2002,87226,15495,Ford
2002,99760,9490,GMC
2002,169184,8990,GMC
2003,174000,8500,Dodge
2003,86000,7900,Dodge
2003,22702,14980,GMC
2003,35000,6500,Dodge
2004,82000,9800,Ford
2004,68277,17999,GMC
2005,21195,8995,Dodge
2005,58170,13900,Ford
2006,19000,16985,Ford
2006,34000,13995,Ford
2006,18490,18995,GMC
2007,22422,23950,GMC
2007,34815,19980,GMC
2008,17638,14995,GMC
