"speed","height","gender"
85,69,"female"
40,71,"male"
87,64,"female"
110,60,"female"
110,70,"male"
120,61,"female"
90,65,"female"
90,65,"female"
80,61,"female"
95,69,"male"
110,63,"female"
90,72,"male"
110,70,"male"
70,68,"male"
102,63,"female"
120,78,"male"
70,65,"female"
120,71,"male"
45,64,"female"
0,69,"male"
100,70,"male"
70,62,"female"
80,63,"female"
60,61,"female"
85,61,"male"
75,62,"female"
95,62,"female"
103,68,"female"
100,67,"male"
110,72,"male"
110,72,"male"
90,67,"female"
0,72,"male"
90,60,"female"
110,60,"male"
100,67,"female"
90,63,"female"
80,62,"female"
75,68,"female"
105,68,"female"
90,65,"female"
80,62,"female"
80,64,"female"
110,67,"female"
35,62,"female"
70,61,"female"
85,64,"female"
90,70,"male"
80,66,"female"
0,64,"female"
80,62,"female"
80,70,"male"
70,62,"female"
70,70,"male"
95,64,"female"
40,61,"female"
75,62,"female"
95,62,"female"
95,62,"female"
90,62,"female"
100,65,"female"
130,70,"male"
110,72,"male"
70,66,"female"
70,61,"female"
80,62,"female"
80,63,"female"
90,69,"male"
95,63,"female"
65,64,"female"
90,72,"male"
80,62,"female"
40,72,"male"
0,68,"female"
135,67,"male"
100,62,"female"
110,62,"female"
120,69,"male"
115,71,"male"
90,75,"male"
120,63,"female"
90,70,"male"
85,72,"female"
85,68,"female"
80,61,"female"
110,67,"female"
107,70,"male"
95,67.5,"male"
80,61,"female"
95,63,"female"
85,64,"female"
90,71,"male"
80,64,"female"
70,67,"female"
80,66,"female"
70,68,"female"
100,67,"female"
77,69,"male"
110,65,"female"
110,60,"female"
95,66,"female"
90,59,"female"
80,69,"female"
90,69,"female"
110,71,"male"
100,67.5,"male"
95,68,"female"
90,68,"female"
90,67.5,"female"
90,65,"female"
82,67,"male"
95,63,"female"
99,69,"female"
90,63,"female"
90,68,"male"
100,70,"female"
100,72,"male"
130,73,"female"
125,61,"female"
90,68,"female"
100,66,"female"
83,64,"female"
40,61.5,"female"
120,72,"male"
95,76,"male"
90,64,"female"
90,68,"male"
90,69,"male"
75,64,"female"
90,63,"female"
30,67,"female"
100,75,"male"
100,65,"female"
85,67,"female"
